iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,totaldeaths,totalcured,total_patients_hospitalised,samples
IND,India,31-12-19,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,01-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,02-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,03-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,04-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,05-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,06-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,07-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,08-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,09-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,10-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,11-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,12-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,13-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,14-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,15-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,16-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,17-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,18-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,19-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,20-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,21-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,22-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,23-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,24-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,25-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,26-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,27-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,28-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,29-01-20,0,0,0,0,0,0,0,0,,,,,,0,0,0,
IND,India,30-01-20,1,1,0,0,0.001,0.001,0,0,,,,,,0,0,1,
IND,India,31-01-20,1,0,0,0,0.001,0,0,0,,,,,,0,0,1,
IND,India,01-02-20,1,0,0,0,0.001,0,0,0,,,,,,0,0,1,
IND,India,02-02-20,2,1,0,0,0.001,0.001,0,0,,,,,,0,0,2,
IND,India,03-02-20,2,0,0,0,0.001,0,0,0,,,,,,0,0,2,
IND,India,04-02-20,3,1,0,0,0.002,0.001,0,0,,,,,,0,0,3,
IND,India,05-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,06-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,07-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,08-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,09-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,10-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,11-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,12-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,13-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,14-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,15-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,16-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,17-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,18-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,19-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,20-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,21-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,22-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
IND,India,23-02-20,3,0,0,0,0.002,0,0,0,,,,,,0,0,3,
