iso_code,location,date,Timestep,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,cured
IND,India,30-01-20,0,1,1,0,0,0.001,0.001,0,0,,,,,,0
IND,India,31-01-20,1,1,0,0,0,0.001,0,0,0,,,,,,0
IND,India,01-02-20,2,1,0,0,0,0.001,0,0,0,,,,,,0
IND,India,02-02-20,3,2,1,0,0,0.001,0.001,0,0,,,,,,0
IND,India,03-02-20,4,2,0,0,0,0.001,0,0,0,,,,,,0
IND,India,04-02-20,5,3,1,0,0,0.002,0.001,0,0,,,,,,0
IND,India,05-02-20,6,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,06-02-20,7,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,07-02-20,8,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,08-02-20,9,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,09-02-20,10,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,10-02-20,11,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,11-02-20,12,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,12-02-20,13,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,13-02-20,14,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,14-02-20,15,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,15-02-20,16,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,16-02-20,17,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,17-02-20,18,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,18-02-20,19,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,19-02-20,20,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,20-02-20,21,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,21-02-20,22,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,22-02-20,23,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,23-02-20,24,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,24-02-20,25,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,25-02-20,26,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,26-02-20,27,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,27-02-20,28,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,28-02-20,29,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,29-02-20,30,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,01-03-20,31,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,02-03-20,32,3,0,0,0,0.002,0,0,0,,,,,,0
IND,India,03-03-20,33,5,2,0,0,0.004,0.001,0,0,,,,,,3
IND,India,04-03-20,34,6,1,0,0,0.004,0.001,0,0,,,,,,3
IND,India,05-03-20,35,28,22,0,0,0.02,0.016,0,0,,,,,,3
IND,India,06-03-20,36,29,1,0,0,0.021,0.001,0,0,,,,,,3
IND,India,07-03-20,37,31,2,0,0,0.022,0.001,0,0,,,,,,3
IND,India,08-03-20,38,34,3,0,0,0.025,0.002,0,0,,,,,,3
IND,India,10-03-20,39,44,10,0,0,0.032,0.007,0,0,,,,,,3
IND,India,11-03-20,40,50,6,0,0,0.036,0.004,0,0,,,,,,3
IND,India,12-03-20,41,73,23,0,0,0.053,0.017,0,0,,,,,,3
IND,India,13-03-20,42,75,2,1,1,0.054,0.001,0.001,0.001,6500,,0.005,,samples tested,3
IND,India,14-03-20,43,83,8,2,1,0.06,0.006,0.001,0.001,,,,,,10
IND,India,15-03-20,44,90,7,2,0,0.065,0.005,0.001,0,,,,,,13
IND,India,16-03-20,45,93,3,2,0,0.067,0.002,0.001,0,,,,,,13
IND,India,17-03-20,46,125,32,3,1,0.091,0.023,0.002,0.001,,,,,,14
IND,India,18-03-20,47,137,12,3,0,0.099,0.009,0.002,0,13125,,0.01,,samples tested,14
IND,India,19-03-20,48,165,28,3,0,0.12,0.02,0.002,0,13316,191,0.01,0,samples tested,20
IND,India,20-03-20,49,191,26,4,1,0.138,0.019,0.003,0.001,14376,1060,0.01,0.001,samples tested,23
IND,India,21-03-20,50,231,40,4,0,0.167,0.029,0.003,0,15701,1325,0.011,0.001,samples tested,23
IND,India,22-03-20,51,320,89,4,0,0.232,0.064,0.003,0,16999,1298,0.012,0.001,samples tested,24
IND,India,23-03-20,52,439,119,7,3,0.318,0.086,0.005,0.002,20707,3708,0.015,0.003,samples tested,24
IND,India,24-03-20,53,492,53,9,2,0.357,0.038,0.007,0.001,20864,157,0.015,0,samples tested,40
IND,India,25-03-20,54,562,70,9,0,0.407,0.051,0.007,0,25144,4280,0.018,0.003,samples tested,43
IND,India,26-03-20,55,649,87,13,4,0.47,0.063,0.009,0.003,,,,,,45
IND,India,27-03-20,56,724,75,17,4,0.525,0.054,0.012,0.003,27688,,0.02,,samples tested,67
IND,India,28-03-20,57,873,149,19,2,0.633,0.108,0.014,0.001,,,,,,80
IND,India,29-03-20,58,979,106,25,6,0.709,0.077,0.018,0.004,,,,,,96
IND,India,30-03-20,59,1071,92,29,4,0.776,0.067,0.021,0.003,,,,,,102
IND,India,31-03-20,60,1251,180,32,3,0.907,0.13,0.023,0.002,,,,,,124
IND,India,01-04-20,61,1397,146,35,3,1.012,0.106,0.025,0.002,,,,,,144
IND,India,02-04-20,62,1965,568,50,15,1.424,0.412,0.036,0.011,47951,,0.035,,samples tested,156
IND,India,03-04-20,63,2301,336,56,6,1.667,0.243,0.041,0.004,69245,21294,0.05,0.015,samples tested,163
IND,India,04-04-20,64,2902,601,68,12,2.103,0.436,0.049,0.009,79950,10705,0.058,0.008,samples tested,213
IND,India,05-04-20,65,3374,472,77,9,2.445,0.342,0.056,0.007,89534,9584,0.065,0.007,samples tested,275
IND,India,06-04-20,66,4067,693,109,32,2.947,0.502,0.079,0.023,101068,11534,0.073,0.008,samples tested,319
IND,India,07-04-20,67,4421,354,114,5,3.204,0.257,0.083,0.004,114015,12947,0.083,0.009,samples tested,353
IND,India,08-04-20,68,5194,773,149,35,3.764,0.56,0.108,0.025,127919,13904,0.093,0.01,samples tested,411
IND,India,09-04-20,69,5734,540,166,17,4.155,0.391,0.12,0.012,144910,16991,0.105,0.012,samples tested,478
IND,India,10-04-20,70,6412,678,199,33,4.646,0.491,0.144,0.024,161330,16420,0.117,0.012,samples tested,516
IND,India,11-04-20,71,7447,1035,239,40,5.396,0.75,0.173,0.029,179374,18044,0.13,0.013,samples tested,653
IND,India,12-04-20,72,8356,909,273,34,6.055,0.659,0.198,0.025,195748,16374,0.142,0.012,samples tested,765
IND,India,13-04-20,73,9152,796,308,35,6.632,0.577,0.223,0.025,217554,21806,0.158,0.016,samples tested,980
IND,India,14-04-20,74,10363,1211,339,31,7.509,0.878,0.246,0.022,244893,27339,0.177,0.02,samples tested,1190
IND,India,15-04-20,75,11438,1075,377,38,8.288,0.779,0.273,0.028,274599,29706,0.199,0.022,samples tested,1344
IND,India,16-04-20,76,12380,942,414,37,8.971,0.683,0.3,0.027,302956,28357,0.22,0.021,samples tested,1515
IND,India,17-04-20,77,13387,1007,437,23,9.701,0.73,0.317,0.017,335123,32167,0.243,0.023,samples tested,1767
IND,India,18-04-20,78,14378,991,480,43,10.419,0.718,0.348,0.031,372123,37000,0.27,0.027,samples tested,2015
IND,India,19-04-20,79,15712,1334,507,27,11.385,0.967,0.367,0.02,401586,29463,0.291,0.021,samples tested,2302
IND,India,20-04-20,80,17265,1553,543,36,12.511,1.125,0.393,0.026,,,,,,2842
IND,India,21-04-20,81,18600,1335,590,47,13.478,0.967,0.428,0.034,462621,,0.335,,samples tested,3260
IND,India,22-04-20,82,19984,1384,640,50,14.481,1.003,0.464,0.036,,,,,,3960
IND,India,23-04-20,83,21393,1409,681,41,15.502,1.021,0.493,0.03,500542,,0.363,,samples tested,4325
IND,India,24-04-20,84,23077,1684,718,37,16.722,1.22,0.52,0.027,541789,41247,0.393,0.03,samples tested,4814
IND,India,25-04-20,85,24506,1429,775,57,17.758,1.036,0.562,0.041,579957,38168,0.42,0.028,samples tested,5210
IND,India,26-04-20,86,26496,1990,824,49,19.2,1.442,0.597,0.036,625309,45352,0.453,0.033,samples tested,5914
IND,India,27-04-20,87,27892,1396,872,48,20.212,1.012,0.632,0.035,665819,40510,0.482,0.029,samples tested,6362
IND,India,28-04-20,88,29435,1543,934,62,21.33,1.118,0.677,0.045,716733,50914,0.519,0.037,samples tested,7027
IND,India,29-04-20,89,31332,1897,1007,73,22.704,1.375,0.73,0.053,,,,,,7797
